"","MLSP 474"
"immune response-regulating signaling pathway",4.64031866204497e-267
"immune response",3.04101186438556e-86
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",5.16274493528358e-52
"peptide antigen assembly with MHC class II protein complex",4.32916307645093e-43
"adaptive immune response",1.60208733724349e-38
"antigen processing and presentation of exogenous peptide antigen via MHC class II",2.08991995621407e-38
"eosinophil chemotaxis",7.29410520252754e-36
"positive regulation of T cell activation",4.32390893219875e-34
"positive regulation of immune response",7.61969611629477e-34
"signaling",4.37888208938275e-25
"antigen processing and presentation",5.60766537928915e-25
"cellular defense response",3.23227913646776e-22
"collagen-activated signaling pathway",3.71589077525534e-20
"chemokine-mediated signaling pathway",1.46874476551368e-18
"antimicrobial humoral immune response mediated by antimicrobial peptide",1.79497623618248e-18
"interleukin-10-mediated signaling pathway",2.18010768611562e-17
"antigen processing and presentation of endogenous peptide antigen via MHC class I",2.6844190881267e-17
"peptide transport",1.5892450631745e-14
"ganglioside catabolic process",9.83105579936851e-14
"positive regulation of interleukin-6 production",1.19133806582592e-11
"spliceosomal tri-snRNP complex assembly",1.46596353965422e-11
"positive regulation of interleukin-1 beta production",3.20505921858526e-11
"positive regulation of heterotypic cell-cell adhesion",3.72377815949997e-11
"immune system process",4.71130133705765e-11
"meiosis I",1.74341142990902e-10
"tRNA-type intron splice site recognition and cleavage",4.4356050859262e-10
"microglial cell activation",4.86239938003886e-10
"positive regulation of cellular senescence",4.98114199697764e-10
"cell communication",5.19669376735579e-10
"phospholipid metabolic process",1.83450199953481e-09
"oligosaccharide catabolic process",1.83450199953481e-09
"acetylcholine receptor signaling pathway",2.32585963902333e-09
"regulation of monoatomic ion transport",2.46510511742325e-09
"cell surface receptor signaling pathway",2.52012500672108e-09
"necroptotic signaling pathway",4.30431279610595e-09
"aminoacyl-tRNA metabolism involved in translational fidelity",5.87071655753966e-09
"positive regulation of non-canonical NF-kappaB signal transduction",9.89431797316485e-09
"negative regulation of miRNA transcription",1.00288462038673e-08
"layer formation in cerebral cortex",1.05323746481934e-08
"chemotaxis",1.70609398902812e-08
"positive regulation of T cell proliferation",2.07214243737573e-08
"positive regulation of cytokine-mediated signaling pathway",2.86312780826058e-08
"negative regulation of interleukin-10 production",3.57153134442289e-08
"positive regulation of cell migration",4.09640257864286e-08
"lysosomal transport",4.09640257864286e-08
"cell-cell signaling",1.34826086077752e-07
"positive regulation of chemokine production",1.34826086077752e-07
"NK T cell activation",1.85416335518767e-07
"thiamine pyrophosphate transmembrane transport",2.03506529324624e-07
"peptide cross-linking",2.3175976688573e-07
"alpha-tubulin acetylation",2.99626112821945e-07
"cellular response to interleukin-6",3.03300621770565e-07
"tRNA aminoacylation for protein translation",3.36165157883026e-07
"termination of RNA polymerase I transcription",4.11380718394261e-07
"mismatch repair",4.46131102158655e-07
"positive regulation of calcium ion transport",4.48506338389658e-07
"cellular response to type II interferon",4.63526120295222e-07
"negative regulation of natural killer cell mediated cytotoxicity",5.69938621349298e-07
"positive regulation of natural killer cell cytokine production",6.0431221769978e-07
"regulation of stem cell population maintenance",7.97050820624207e-07
"positive regulation of extrinsic apoptotic signaling pathway",1.09947566247812e-06
"neutrophil activation",1.72197830840252e-06
"pyrimidine nucleotide-sugar transmembrane transport",2.19168477814896e-06
"positive regulation of inflammatory response",2.2435805222809e-06
"negative regulation of lipopolysaccharide-mediated signaling pathway",2.26793104216363e-06
"astrocyte activation",2.42839110068844e-06
"suppression of viral release by host",2.4331952177183e-06
"regulation of p38MAPK cascade",3.37879041604485e-06
"negative regulation of blood vessel endothelial cell migration",3.55103437496365e-06
"phosphatidylcholine acyl-chain remodeling",5.18886715619049e-06
"positive regulation of DNA-binding transcription factor activity",1.0367971715645e-05
"positive regulation of telomere maintenance in response to DNA damage",1.0367971715645e-05
"positive regulation of interleukin-12 production",1.06229428999333e-05
"macromolecule depalmitoylation",1.10791525520091e-05
"regulation of embryonic development",1.29528808771924e-05
"regulation of triglyceride metabolic process",1.31799794434135e-05
"negative regulation of tumor necrosis factor production",1.42960728463468e-05
"negative regulation of phosphoprotein phosphatase activity",2.09009049415728e-05
"regulation of extracellular matrix disassembly",2.11602106919721e-05
"megakaryocyte differentiation",2.48600966592664e-05
"NAD-cap decapping",2.48600966592664e-05
"regulation of multicellular organismal process",2.48600966592664e-05
"monocyte chemotaxis",2.64579460407366e-05
"phospholipid biosynthetic process",2.88121233810634e-05
"regulation of spontaneous synaptic transmission",2.88282986134451e-05
"collagen-activated tyrosine kinase receptor signaling pathway",3.5473099955275e-05
"natural killer cell activation",3.71138947689328e-05
"regulation of DNA replication",4.73307395736479e-05
"phosphatidylinositol acyl-chain remodeling",4.91272750122272e-05
"regulation of long-term synaptic potentiation",5.29491544182028e-05
"positive regulation of cytokine production",6.17166155814415e-05
"positive regulation of calcineurin-NFAT signaling cascade",6.28464380721326e-05
"positive regulation of platelet aggregation",8.25792809422978e-05
"regulation of developmental process",0.000103375423008173
"high-density lipoprotein particle assembly",0.000123473842963972
"choline transport",0.000134725858178065
"osteoclast differentiation",0.000137244429016324
"complement activation",0.000139123020614733
"nuclear-transcribed mRNA poly(A) tail shortening",0.00014053339399734
"positive regulation of ERAD pathway",0.000162011856628724
"positive regulation of smooth muscle cell proliferation",0.000164745682466934
"complement activation, alternative pathway",0.000164745682466934
"positive regulation of monocyte chemotaxis",0.00016896083574169
"positive regulation of osteoclast differentiation",0.000175553901518663
"tRNA splicing, via endonucleolytic cleavage and ligation",0.000249492676024409
"positive regulation of cytokine production involved in inflammatory response",0.000321088491661953
"DNA replication checkpoint signaling",0.000384616647700103
"positive regulation of nitric oxide biosynthetic process",0.000528075203729249
"ruffle assembly",0.000531313271514178
"retinal metabolic process",0.000546864412259639
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.000555415112314131
"regulation of chromosome organization",0.000585794930063238
"inflammatory response",0.000613835820689409
"phosphatidylinositol biosynthetic process",0.000613835820689409
"phosphatidylcholine biosynthetic process",0.000613835820689409
"phototransduction",0.000613835820689409
"neuron development",0.000661966450735239
"zinc ion transmembrane transport",0.000896808688436472
"protein localization to site of double-strand break",0.000906540036065944
"zinc ion transport",0.000955533952792571
"proteolysis involved in protein catabolic process",0.00101954805015478
"transcription initiation at RNA polymerase II promoter",0.0011975987238929
"L-leucine catabolic process",0.00127655219274304
"tRNA 5'-leader removal",0.00150262223202972
"endothelial tube morphogenesis",0.00170937553346624
"mitochondrial electron transport, NADH to ubiquinone",0.00186854190603592
"positive regulation of JUN kinase activity",0.0020704644688724
"reverse cholesterol transport",0.00210618223335234
"retinoic acid receptor signaling pathway",0.00217677213160944
"regulation of canonical NF-kappaB signal transduction",0.00234499196785659
"RNA polymerase II preinitiation complex assembly",0.00256476687651973
"positive regulation of T cell migration",0.00265425406551871
"extrinsic apoptotic signaling pathway via death domain receptors",0.00294670324273589
"cognition",0.00339615178346216
"immune response-activating cell surface receptor signaling pathway",0.00357033537321858
"T cell mediated immunity",0.00373603637402571
"negative regulation of interleukin-12 production",0.00389884294392644
"high-density lipoprotein particle remodeling",0.00389884294392644
"positive regulation of activated T cell proliferation",0.00389884294392644
"embryonic digestive tract development",0.00406151147747678
"response to amyloid-beta",0.00415436315090984
"mitotic intra-S DNA damage checkpoint signaling",0.00423601343786971
"megakaryocyte development",0.00443877904017435
"peptidyl-tyrosine autophosphorylation",0.00466957642591922
"negative regulation of proteolysis",0.00490354319197991
"glycolipid biosynthetic process",0.0054725652484586
"cellular response to lipopolysaccharide",0.00651590357445441
"L-glutamate transmembrane transport",0.00666250921843804
"negative regulation of viral entry into host cell",0.0066693108986432
"platelet formation",0.00736008362730506
"cellular response to tumor necrosis factor",0.0077318776382301
"negative regulation of osteoclast differentiation",0.0077318776382301
"mitochondrial respiratory chain complex I assembly",0.00776129355818755
"synaptonemal complex assembly",0.00776129355818755
"positive regulation of Ras protein signal transduction",0.00776129355818755
"negative regulation of interleukin-2 production",0.00863417960884797
"mRNA splice site recognition",0.00922854322007747
"cell chemotaxis",0.009490106263917
"positive regulation of protein phosphorylation",0.00949990176070632
"leukocyte tethering or rolling",0.0100473211813368
"antiviral innate immune response",0.0110906951574407
"positive regulation of tumor necrosis factor production",0.0119334722692128
"biological_process",0.0127119663326387
"glycoprotein catabolic process",0.0129694988500727
"negative regulation of cardiac muscle cell apoptotic process",0.013179031672358
"negative regulation of long-term synaptic potentiation",0.0142772494614938
"eye development",0.014662669240505
"tail-anchored membrane protein insertion into ER membrane",0.0147717128765049
"positive regulation of amyloid-beta formation",0.0153027911229301
"negative regulation of toll-like receptor signaling pathway",0.0155123186663029
"positive regulation of NF-kappaB transcription factor activity",0.0160083445932436
"regulation of presynaptic membrane potential",0.0161297373314064
"negative regulation of lipid catabolic process",0.0162638251397461
"positive regulation of p38MAPK cascade",0.0175299459611096
"positive regulation of canonical NF-kappaB signal transduction",0.0188905795733048
"protein localization to cell surface",0.0201450024157919
"CDP-diacylglycerol biosynthetic process",0.0214738099201113
"tRNA processing",0.0229816230049681
"negative regulation of proteasomal ubiquitin-dependent protein catabolic process",0.0231096621861472
"nucleotide-excision repair",0.0236326532128408
"response to bacterium",0.0243392597696911
"positive regulation of protein tyrosine kinase activity",0.0266618933115623
"synaptic transmission, GABAergic",0.0266618933115623
"negative regulation of viral transcription",0.0266843655288089
"phosphatidylethanolamine biosynthetic process",0.0266843655288089
"gamma-aminobutyric acid signaling pathway",0.0267801990692931
"blood coagulation",0.0269350920715331
"positive regulation of endocytosis",0.0279870525323219
"smooth muscle cell migration",0.0289205464652754
"positive regulation of transcription initiation by RNA polymerase II",0.0298232800374788
"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",0.0302699172046927
"cellular response to amyloid-beta",0.0316415874869687
"positive regulation of telomere maintenance",0.0357212356034894
"negative regulation of cytokine production",0.0357212356034894
"protein K63-linked ubiquitination",0.0360961441078634
"positive regulation of neuron apoptotic process",0.0363681347763679
"regulation of insulin secretion",0.0371322370965709
"regulation of inflammatory response",0.03715416410431
"positive regulation of synaptic transmission",0.0383830991878218
"positive regulation of tyrosine phosphorylation of STAT protein",0.040178977247817
"L-leucine transport",0.0415444619947368
"negative regulation of smooth muscle cell proliferation",0.042457509923727
"positive regulation of SMAD protein signal transduction",0.042631968847702
"immune response-inhibiting cell surface receptor signaling pathway",0.0458022167282579
"intracellular zinc ion homeostasis",0.0471601419115755
"actin crosslink formation",0.0480329712419484
"regulation of reactive oxygen species metabolic process",0.0486571967373753
